;ciclos;avg_degree;avg_clustering_coefficient
0;0;3.92;0.0
1;1;7.875;0.2937
2;2;7.906;0.2727
3;3;7.914;0.2644
4;4;7.914;0.2583
5;5;7.914;0.2527
6;6;7.914;0.2484
7;7;7.918;0.2449
8;8;7.918;0.2417
9;9;7.918;0.2395
10;10;7.918;0.236
11;11;7.918;0.2338
12;12;7.918;0.231
13;13;7.918;0.2289
14;14;7.918;0.2262
15;15;7.918;0.2241
16;16;7.918;0.2224
17;17;7.918;0.2214
18;18;7.918;0.2198
19;19;7.918;0.2189
20;20;7.918;0.2181
21;21;7.918;0.2168
22;22;7.918;0.2155
23;23;7.918;0.215
24;24;7.918;0.214
25;25;7.918;0.2135
26;26;7.918;0.2131
27;27;7.918;0.2119
28;28;7.918;0.2108
29;29;7.918;0.2102
30;30;7.918;0.209
