;ciclo;nodes;edges;density;max_deg;min_deg;avg_deg;assortativity;avpl;diameter
0;0;2500;4900;0.001568627450980392;4;2.0;3.92;0.6504952980919219;29.09197000336286;98
1;1;2500;9697;0.003104281712685074;12;4.0;7.758;0.26460313708318406;11.976173932209123;34
2;2;2500;9888;0.003165426170468187;14;4.0;7.91;0.1676865699285504;8.976530148281519;24
3;3;2500;9899;0.0031689475790316127;18;4.0;7.918;0.14109327063581573;7.251499609576779;18
4;4;2500;9900;0.003169267707082833;20;4.0;7.92;0.11765196609656435;6.237284093699802;15
5;5;2500;9900;0.003169267707082833;23;4.0;7.92;0.12602568656947635;5.600581036487192;12
6;6;2500;9900;0.003169267707082833;25;4.0;7.92;0.16420714356570412;5.156237041980367;11
7;7;2500;9900;0.003169267707082833;27;4.0;7.92;0.16863872998220167;4.839563919377426;10
8;8;2500;9900;0.003169267707082833;30;4.0;7.92;0.16407065852743577;4.622770504788545;9
9;9;2500;9900;0.003169267707082833;36;4.0;7.92;0.1376997727434355;4.487248673867159;8
10;10;2500;9900;0.003169267707082833;37;4.0;7.92;0.13482769782113152;4.400511807652238;8
11;11;2500;9900;0.003169267707082833;44;4.0;7.92;0.10591845617723152;4.355331968241469;8
12;12;2500;9900;0.003169267707082833;48;4.0;7.92;0.10807158641024193;4.309153267927922;7
13;13;2500;9900;0.003169267707082833;46;4.0;7.92;0.10090727413391583;4.296959346331201;7
14;14;2500;9900;0.003169267707082833;42;4.0;7.92;0.0912310147940226;4.291024280652243;7
15;15;2500;9900;0.003169267707082833;40;4.0;7.92;0.08077308868489709;4.294527352661819;7
16;16;2500;9900;0.003169267707082833;43;4.0;7.92;0.07238951498321776;4.3042741781019505;7
17;17;2500;9900;0.003169267707082833;42;4.0;7.92;0.06671558578450903;4.308094054990591;7
18;18;2500;9900;0.003169267707082833;44;4.0;7.92;0.06859987386726327;4.319068333073399;7
19;19;2500;9900;0.003169267707082833;36;4.0;7.92;0.06874286175436135;4.333024510467508;7
20;20;2500;9900;0.003169267707082833;36;4.0;7.92;0.08182904915729577;4.341230420945806;7
21;21;2500;9900;0.003169267707082833;38;4.0;7.92;0.09026458135310646;4.368012109024997;7
22;22;2500;9900;0.003169267707082833;37;4.0;7.92;0.08816310910310934;4.3756946312268825;7
23;23;2500;9900;0.003169267707082833;40;4.0;7.92;0.08016420684911824;4.378056179121269;7
24;24;2500;9900;0.003169267707082833;36;4.0;7.92;0.0815066637644341;4.384179997704139;7
25;25;2500;9900;0.003169267707082833;36;4.0;7.92;0.06658140079360483;4.3869314258887435;7
26;26;2500;9900;0.003169267707082833;38;4.0;7.92;0.06739174280541156;4.391783605563289;7
27;27;2500;9900;0.003169267707082833;36;4.0;7.92;0.07894724251264619;4.393126496571583;7
28;28;2500;9900;0.003169267707082833;33;4.0;7.92;0.08356400401534009;4.387834655057347;7
29;29;2500;9900;0.003169267707082833;33;4.0;7.92;0.08311688081507772;4.385326702963495;7
30;30;2500;9900;0.003169267707082833;34;4.0;7.92;0.09037364634217798;4.391738142087443;7
