enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,11,40,45
1,2,1,11,36,44
1,3,1,10,38,50
1,4,1,11,39,49
1,5,1,11,39,49
1,6,1,11,36,46
1,7,1,10,38,48
1,8,1,10,37,49
1,9,1,11,39,45
1,10,1,11,39,45
2,1,1,11,36,48
2,2,1,11,36,49
2,3,1,11,39,49
2,4,1,10,37,48
2,5,1,10,37,49
2,6,1,10,36,43
2,7,1,11,38,48
2,8,1,10,36,49
2,9,1,10,39,45
2,10,1,10,38,49
4,1,1,11,40,46
4,2,1,11,39,50
4,3,1,11,40,46
4,4,1,11,40,50
4,5,1,10,39,50
4,6,1,11,40,46
4,7,1,11,41,50
4,8,1,11,40,50
4,9,1,11,40,50
4,10,1,11,40,50
8,1,1,11,43,49
8,2,1,11,43,52
8,3,1,11,43,50
8,4,1,11,43,48
8,5,1,11,43,48
8,6,1,11,43,50
8,7,1,11,43,49
8,8,1,11,43,53
8,9,1,11,43,49
8,10,1,11,43,49
16,1,1,11,45,54
16,2,1,11,44,55
16,3,1,11,45,51
16,4,1,11,45,51
16,5,1,11,45,50
16,6,1,11,45,51
16,7,1,11,45,50
16,8,1,11,45,51
16,9,1,11,44,51
16,10,1,11,44,50
32,1,1,11,41,49
32,2,1,11,42,53
32,3,1,11,42,50
32,4,1,11,41,53
32,5,1,11,43,52
32,6,1,11,43,53
32,7,1,11,43,53
32,8,1,11,43,55
32,9,1,11,42,51
32,10,1,11,44,54
