enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,11,45,51
1,2,1,11,45,52
1,3,1,11,45,53
1,4,1,11,45,53
1,5,1,11,45,53
1,6,1,11,45,53
1,7,1,11,45,52
1,8,1,11,45,53
1,9,1,11,45,53
1,10,1,11,45,52
2,1,1,11,43,51
2,2,1,11,43,51
2,3,1,11,45,53
2,4,1,11,46,53
2,5,1,10,45,52
2,6,1,11,44,52
2,7,1,11,44,53
2,8,1,11,45,53
2,9,1,11,44,53
2,10,1,11,44,52
4,1,1,11,42,53
4,2,1,11,42,52
4,3,1,11,42,52
4,4,1,11,43,52
4,5,1,11,42,51
4,6,1,11,43,52
4,7,1,11,43,48
4,8,1,11,43,51
4,9,1,11,42,52
4,10,1,11,43,54
8,1,1,11,42,50
8,2,1,11,42,52
8,3,1,11,42,51
8,4,1,11,42,53
8,5,1,11,42,52
8,6,1,11,43,52
8,7,1,11,42,47
8,8,1,11,42,51
8,9,1,11,42,52
8,10,1,11,42,49
16,1,1,11,44,49
16,2,1,11,43,48
16,3,1,11,44,50
16,4,1,11,43,50
16,5,1,11,43,48
16,6,1,11,44,49
16,7,1,11,44,49
16,8,1,11,43,49
16,9,1,11,43,49
16,10,1,11,43,53
32,1,1,11,42,52
32,2,1,11,42,53
32,3,1,11,42,50
32,4,1,11,42,52
32,5,1,11,42,54
32,6,1,11,42,54
32,7,1,11,42,53
32,8,1,11,44,52
32,9,1,11,42,53
32,10,1,11,42,53
