enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,69,82,85
1,1,2,71,79,83
1,1,3,67,79,84
1,1,4,68,79,83
1,1,5,69,81,86
1,1,6,68,80,85
1,1,7,67,82,88
1,1,8,70,80,84
1,1,9,70,84,90
1,1,10,67,79,86
1,2,1,67,79,85
1,2,2,69,79,83
1,2,3,70,79,85
1,2,4,71,84,88
1,2,5,69,81,88
1,2,6,69,81,85
1,2,7,68,80,86
1,2,8,67,78,88
1,2,9,69,81,87
1,2,10,68,80,83
1,3,1,68,80,84
1,3,2,69,80,87
1,3,3,67,81,85
1,3,4,68,79,90
1,3,5,68,81,88
1,3,6,69,80,86
1,3,7,68,82,84
1,3,8,70,79,87
1,3,9,70,81,85
1,3,10,70,82,86
1,4,1,69,80,88
1,4,2,71,81,85
1,4,3,66,79,85
1,4,4,68,78,88
1,4,5,66,79,86
1,4,6,69,81,85
1,4,7,68,81,89
1,4,8,66,81,86
1,4,9,70,79,84
1,4,10,71,80,87
1,5,1,69,81,85
1,5,2,67,80,89
1,5,3,69,80,83
1,5,4,68,79,86
1,5,5,69,80,86
1,5,6,70,80,87
1,5,7,67,79,84
1,5,8,68,81,86
1,5,9,66,81,86
1,5,10,68,80,85
1,6,1,69,80,88
1,6,2,72,81,84
1,6,3,68,80,83
1,6,4,69,79,85
1,6,5,69,83,86
1,6,6,68,80,87
1,6,7,69,81,87
1,6,8,70,83,88
1,6,9,70,80,86
1,6,10,69,80,85
1,7,1,69,82,87
1,7,2,69,80,86
1,7,3,70,81,86
1,7,4,70,82,87
1,7,5,69,79,84
1,7,6,67,78,85
1,7,7,70,82,89
1,7,8,68,81,89
1,7,9,70,81,90
1,7,10,67,81,86
1,8,1,70,84,88
1,8,2,69,81,86
1,8,3,68,78,86
1,8,4,69,80,87
1,8,5,70,80,83
1,8,6,68,82,88
1,8,7,70,81,85
1,8,8,71,80,84
1,8,9,69,81,85
1,8,10,68,78,81
1,9,1,71,81,85
1,9,2,69,82,85
1,9,3,69,82,87
1,9,4,69,79,84
1,9,5,70,81,86
1,9,6,68,80,86
1,9,7,67,80,87
1,9,8,69,80,85
1,9,9,68,80,87
1,9,10,71,80,84
1,10,1,69,80,86
1,10,2,69,80,85
1,10,3,69,81,87
1,10,4,69,78,86
1,10,5,68,81,88
1,10,6,69,78,83
1,10,7,69,81,88
1,10,8,70,83,87
1,10,9,70,80,87
1,10,10,71,78,83
2,1,1,66,81,84
2,1,2,69,80,89
2,1,3,70,81,84
2,1,4,69,82,88
2,1,5,67,81,88
2,1,6,69,81,88
2,1,7,67,81,88
2,1,8,67,80,86
2,1,9,68,79,82
2,1,10,69,80,83
2,2,1,69,79,84
2,2,2,68,80,85
2,2,3,66,82,87
2,2,4,69,82,89
2,2,5,67,80,84
2,2,6,68,81,87
2,2,7,68,81,83
2,2,8,69,81,87
2,2,9,69,80,86
2,2,10,69,82,85
2,3,1,69,81,86
2,3,2,69,79,84
2,3,3,70,80,86
2,3,4,68,80,84
2,3,5,66,80,84
2,3,6,69,80,86
2,3,7,70,81,91
2,3,8,69,80,85
2,3,9,69,79,85
2,3,10,68,80,86
2,4,1,69,79,84
2,4,2,68,81,87
2,4,3,68,81,86
2,4,4,70,80,87
2,4,5,70,81,86
2,4,6,70,81,85
2,4,7,69,80,85
2,4,8,69,78,81
2,4,9,68,79,85
2,4,10,69,80,89
2,5,1,71,81,86
2,5,2,70,82,87
2,5,3,68,80,85
2,5,4,69,80,85
2,5,5,69,81,88
2,5,6,68,79,87
2,5,7,67,81,85
2,5,8,67,80,85
2,5,9,70,81,85
2,5,10,66,79,87
2,6,1,68,82,86
2,6,2,66,79,82
2,6,3,69,80,84
2,6,4,70,82,90
2,6,5,68,81,86
2,6,6,68,80,88
2,6,7,68,81,86
2,6,8,69,80,85
2,6,9,67,81,88
2,6,10,68,80,85
2,7,1,69,83,87
2,7,2,69,79,86
2,7,3,67,83,89
2,7,4,69,80,84
2,7,5,70,80,85
2,7,6,68,79,81
2,7,7,66,80,86
2,7,8,66,81,87
2,7,9,69,82,86
2,7,10,68,80,89
2,8,1,68,79,87
2,8,2,69,82,88
2,8,3,71,81,86
2,8,4,71,81,87
2,8,5,70,79,85
2,8,6,70,82,86
2,8,7,67,79,85
2,8,8,70,80,84
2,8,9,70,82,88
2,8,10,69,80,84
2,9,1,71,81,84
2,9,2,69,81,85
2,9,3,69,81,87
2,9,4,68,79,90
2,9,5,69,80,86
2,9,6,70,80,83
2,9,7,71,82,86
2,9,8,69,80,87
2,9,9,68,80,85
2,9,10,70,82,86
2,10,1,67,79,85
2,10,2,67,80,85
2,10,3,68,85,91
2,10,4,68,80,82
2,10,5,70,80,87
2,10,6,69,82,85
2,10,7,69,82,90
2,10,8,71,82,88
2,10,9,71,82,90
2,10,10,71,81,87
4,1,1,68,80,88
4,1,2,68,81,88
4,1,3,69,80,88
4,1,4,67,80,85
4,1,5,69,80,88
4,1,6,68,79,90
4,1,7,68,82,89
4,1,8,68,81,90
4,1,9,66,80,88
4,1,10,66,79,84
4,2,1,65,80,88
4,2,2,65,79,86
4,2,3,66,82,95
4,2,4,67,79,84
4,2,5,68,80,86
4,2,6,70,82,85
4,2,7,67,80,86
4,2,8,67,78,85
4,2,9,68,81,86
4,2,10,68,78,85
4,3,1,68,85,91
4,3,2,68,80,82
4,3,3,67,79,85
4,3,4,69,81,86
4,3,5,68,81,91
4,3,6,68,81,89
4,3,7,67,79,84
4,3,8,65,79,86
4,3,9,66,79,86
4,3,10,67,82,88
4,4,1,69,81,89
4,4,2,65,79,87
4,4,3,67,80,89
4,4,4,68,79,87
4,4,5,65,81,90
4,4,6,67,80,88
4,4,7,68,79,85
4,4,8,67,79,88
4,4,9,68,77,84
4,4,10,67,80,85
4,5,1,69,80,87
4,5,2,68,80,89
4,5,3,67,80,84
