;bins;d;rd;cd;rcd;rccd
0;0;0;0.0;0;0.0;1.0
1;1;0;0.0;0;0.0;1.0
2;2;0;0.0;0;0.0;1.0
3;3;0;0.0;0;0.0;1.0
4;4;4;0.0016;4;0.0016;0.9985
5;5;147;0.0588;151;0.0604;0.9395
6;6;604;0.2416;755;0.302;0.698
7;7;486;0.1945;1241;0.4966;0.5034
8;8;492;0.1968;1733;0.6934;0.3066
9;9;269;0.1076;2002;0.801;0.1992
10;10;202;0.0808;2204;0.882;0.11816
11;11;112;0.0448;2316;0.927;0.07324
12;12;81;0.0324;2397;0.959;0.04102
13;13;54;0.0216;2451;0.9805;0.01953
14;14;25;0.01;2476;0.99;0.009766
15;15;11;0.0044;2487;0.9946;0.00537
16;16;7;0.0028;2494;0.9976;0.002441
17;17;3;0.0012;2497;0.9985;0.001465
18;18;1;0.0004;2498;0.999;0.000977
19;19;1;0.0004;2499;0.9995;0.0004883
20;20;0;0.0;2499;0.9995;0.0004883
21;21;0;0.0;2499;0.9995;0.0004883
22;22;0;0.0;2499;0.9995;0.0004883
23;23;0;0.0;2499;0.9995;0.0004883
24;24;0;0.0;2499;0.9995;0.0004883
25;25;1;0.0004;2500;1.0;0.0
