#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.802550,9,0.155837,0.003823,4,1,2500
2475,9696,4.810779,9,0.155504,0.005409,4,1,2475
2450,9505,4.827453,9,0.155322,0.003425,4,1,2450
2425,9335,4.833638,9,0.156374,0.003723,4,1,2425
2400,9162,4.844188,9,0.157295,0.002828,3,1,2400
2375,8992,4.849541,9,0.157416,0.001780,3,1,2375
2350,8809,4.861696,10,0.157839,0.001063,2,1,2350
2325,8650,4.865423,10,0.159347,0.001253,2,1,2325
2300,8460,4.875746,10,0.159645,0.001388,2,1,2300
2275,8275,4.890364,10,0.159348,0.002330,2,1,2275
2250,8064,4.956991,10,0.158380,0.001461,2,1,2250
2225,7867,4.986307,10,0.157814,-0.000652,2,1,2225
2200,7708,4.993108,10,0.158427,-0.000509,2,1,2200
2175,7544,5.007980,10,0.158216,0.000693,2,1,2175
2150,7389,5.017106,10,0.158610,0.001974,2,1,2150
2125,7217,5.026220,10,0.158860,0.001466,2,1,2125
2100,7065,5.033965,10,0.160539,0.000653,2,1,2100
2075,6890,5.054849,10,0.159861,-0.000089,2,1,2075
2050,6721,5.087873,10,0.159731,-0.000516,2,1,2050
2025,6552,5.102435,10,0.159764,0.000623,2,1,2025
2000,6387,5.166542,10,0.159813,-0.002561,2,1,2000
1975,6244,5.175264,10,0.161633,-0.003514,2,1,1975
1950,6096,5.188696,10,0.162694,-0.002771,2,1,1950
1925,5959,5.198949,10,0.162922,-0.000783,2,1,1925
1900,5812,5.215911,10,0.162003,-0.001355,1,1,1900
1875,5688,5.225701,10,0.162254,-0.001816,1,1,1875
1850,5571,5.229440,11,0.164431,-0.002723,1,1,1850
1825,5370,5.294944,11,0.161392,-0.003913,1,1,1825
1800,5210,5.335145,11,0.159795,-0.003785,1,1,1800
1775,5041,5.377551,11,0.159179,-0.002724,1,1,1775
1750,4885,5.403969,11,0.159290,-0.000004,1,3,1748
1725,4748,5.436243,12,0.157886,0.003692,1,3,1723
1700,4630,5.440605,12,0.158410,0.002654,1,3,1698
1675,4516,5.449184,12,0.156903,0.002896,1,3,1673
1650,4369,5.481117,12,0.158265,0.001625,1,3,1648
1625,4213,5.532514,12,0.158749,0.001994,1,3,1623
1600,4088,5.549532,12,0.160493,0.004689,1,4,1597
1575,3940,5.607891,12,0.160606,0.006531,1,4,1572
1550,3810,5.637445,12,0.159407,0.004228,1,4,1547
1525,3687,5.675690,12,0.160399,0.006128,1,4,1522
1500,3538,5.719083,12,0.162845,0.003815,1,4,1497
1475,3403,5.769124,14,0.160598,0.007865,1,4,1472
1450,3285,5.819060,14,0.160428,0.003930,1,4,1447
1425,3172,5.880295,14,0.157044,0.008540,1,6,1420
1400,3059,5.942147,14,0.155164,0.007066,1,7,1394
1375,2947,5.986037,14,0.150476,0.008982,1,8,1368
1350,2837,6.023155,14,0.148470,0.012098,1,9,1342
1325,2712,6.172598,14,0.143372,0.007456,1,10,1316
1300,2623,6.201138,14,0.140188,0.011912,1,10,1291
1275,2521,6.254159,14,0.137617,0.016215,1,11,1265
1250,2439,6.291851,16,0.138275,0.016352,1,14,1234
1225,2357,6.313704,16,0.139778,0.014898,1,18,1205
1200,2271,6.353144,17,0.139926,0.014678,1,19,1179
1175,2181,6.407117,16,0.141070,0.014336,1,23,1148
1150,2092,6.450319,16,0.136770,0.016528,1,22,1124
1125,1992,6.519489,16,0.131852,0.013957,1,23,1098
1100,1884,6.758238,21,0.127069,-0.015603,1,29,1066
1075,1792,6.902658,21,0.124575,-0.022352,1,33,1035
1050,1725,6.938586,21,0.122970,-0.026275,1,37,1005
1025,1632,7.116340,23,0.122542,-0.023164,1,40,977
1000,1544,7.165675,19,0.122141,-0.027375,1,46,936
975,1466,7.291998,20,0.124402,-0.032915,1,52,906
950,1399,7.412156,21,0.125758,-0.034997,1,56,879
925,1329,7.519149,21,0.127417,-0.040454,1,61,846
900,1258,7.705318,22,0.127753,-0.053348,1,63,817
875,1178,7.840661,22,0.124302,-0.045882,1,73,777
850,1127,7.759613,20,0.126456,-0.050872,1,76,741
825,1056,7.953643,22,0.124718,-0.051111,1,87,705
800,993,7.994855,25,0.122440,-0.049491,1,96,672
775,940,8.023469,25,0.127573,-0.048379,1,100,638
750,861,8.672030,26,0.122282,-0.037980,1,112,601
725,815,8.715328,27,0.127211,-0.039696,1,115,575
700,756,8.523685,28,0.132701,-0.058603,1,124,520
675,704,8.844438,28,0.139153,-0.078956,1,130,489
650,647,9.049394,22,0.133063,-0.055856,1,140,442
625,602,8.969400,21,0.131831,-0.056935,1,140,414
600,558,9.198071,25,0.131271,-0.075829,1,146,379
575,523,9.294945,25,0.123120,-0.089054,1,143,362
550,471,10.531374,27,0.108270,-0.120542,1,149,331
525,430,12.663822,31,0.088354,-0.132457,1,149,304
500,383,10.868945,30,0.073776,-0.150432,1,158,210
475,354,8.808694,25,0.072522,-0.068029,1,154,159
450,320,9.073632,25,0.063686,-0.055939,1,157,135
425,285,6.373770,17,0.088798,-0.105176,1,158,61
400,257,6.298052,17,0.074702,-0.150241,1,156,56
375,229,6.264490,17,0.072143,-0.165011,1,156,50
350,197,5.763012,15,0.083887,-0.176456,1,163,43
325,167,4.543478,11,0.000000,-0.219697,1,164,24
300,137,3.314286,7,0.095556,-0.178862,1,167,15
275,117,3.142857,7,0.102381,-0.238938,1,161,14
250,101,2.763636,6,0.000000,-0.290323,1,152,11
225,79,2.400000,5,0.143333,-0.388889,1,148,10
200,70,2.333333,5,0.159259,-0.459459,1,132,9
175,54,2.178571,4,0.262500,-0.538462,1,123,8
150,35,1.800000,3,0.000000,-0.666667,1,115,5
125,26,1.666667,3,0.000000,-0.500000,1,99,4
100,17,1.333333,2,0.000000,-1.000000,1,83,3
75,9,1.333333,2,0.000000,-1.000000,1,66,3
50,4,1.333333,2,0.000000,-1.000000,1,46,3
25,1,1.000000,1,0.000000,na,1,24,2
1,0,0.000000,0,0.000000,na,0,1,1
