#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,7.224200,16,0.146318,0.154081,4,1,2500
2475,9502,7.614549,17,0.141847,0.113122,3,1,2475
2450,9169,7.867573,17,0.138882,0.096504,3,1,2450
2425,8846,8.018916,17,0.135653,0.092133,3,1,2425
2400,8546,8.113964,17,0.131770,0.092338,2,1,2400
2375,8259,8.175636,17,0.128584,0.125049,2,1,2375
2350,7984,8.394282,18,0.126025,0.114942,2,1,2350
2325,7709,8.551459,18,0.123045,0.102371,2,1,2325
2300,7457,8.613998,19,0.120734,0.131231,2,1,2300
2275,7207,8.822607,19,0.118321,0.112696,2,1,2275
2250,6959,8.965844,19,0.115377,0.128279,2,1,2250
2225,6734,9.065217,20,0.113282,0.147968,2,1,2225
2200,6509,9.424706,20,0.111295,0.140678,2,1,2200
2175,6284,9.660247,21,0.108986,0.139679,2,1,2175
2150,6067,9.695187,21,0.105413,0.121844,1,1,2150
2125,5867,9.816044,21,0.104159,0.164087,1,1,2125
2100,5667,10.012544,21,0.100804,0.171372,1,2,2099
2075,5467,10.232159,22,0.098906,0.139641,1,2,2074
2050,5267,10.353223,22,0.096584,0.108388,1,2,2049
2025,5084,10.403355,24,0.092765,0.130222,1,2,2024
2000,4909,10.524820,24,0.090793,0.165758,1,2,1999
1975,4734,11.082597,25,0.088300,0.197466,1,2,1974
1950,4559,11.507815,25,0.086064,0.174902,1,2,1949
1925,4384,11.750826,25,0.085494,0.158844,1,2,1924
1900,4209,11.883240,25,0.083859,0.106027,1,2,1899
1875,4040,11.958032,27,0.081846,0.074495,1,4,1871
1850,3890,12.027635,27,0.078638,0.094560,1,4,1846
1825,3740,12.444079,28,0.077119,0.125158,1,4,1821
1800,3590,13.266598,30,0.073441,0.136049,1,4,1796
1775,3440,13.827332,31,0.070452,0.148486,1,5,1770
1750,3290,14.226058,32,0.065482,0.141956,1,6,1744
1725,3140,14.422766,32,0.063889,0.081869,1,8,1716
1700,2999,14.453507,34,0.059901,0.015164,1,9,1690
1675,2874,14.565162,34,0.056526,0.049975,1,13,1660
1650,2749,15.027987,36,0.054100,0.086723,1,14,1634
1625,2624,16.171430,36,0.050405,0.117953,1,17,1605
1600,2499,16.947352,37,0.047888,0.110537,1,19,1578
1575,2374,18.016916,38,0.044502,0.117562,1,22,1549
1550,2249,18.632282,39,0.043499,0.117913,1,29,1505
1525,2124,19.295335,40,0.039783,0.017683,1,31,1478
1500,2004,19.569801,46,0.035887,-0.075707,1,35,1449
1475,1904,20.011318,53,0.033191,-0.035653,1,50,1406
1450,1804,19.960933,59,0.031170,0.000990,1,74,1294
1425,1704,21.053436,61,0.028713,0.039768,1,89,1248
1400,1604,23.033244,59,0.027286,0.041004,1,107,1130
1375,1504,27.051546,66,0.023157,0.045443,1,127,1022
1350,1404,22.506772,71,0.028545,0.038822,1,151,543
1325,1304,22.852768,67,0.025307,0.133961,1,170,461
1300,1204,25.239489,59,0.002597,-0.224261,1,179,385
1275,1114,24.768885,59,0.002740,-0.233253,1,217,365
1250,1039,18.650294,46,0.005495,-0.258321,1,257,182
1225,964,18.970372,47,0.011173,-0.086832,1,301,179
1200,889,18.970372,47,0.011173,-0.086832,1,347,179
1175,814,18.970372,47,0.011173,-0.086832,1,391,179
1150,739,15.914190,35,0.014388,-0.062625,1,432,139
1125,664,13.138995,34,0.024096,-0.128726,1,473,83
1100,589,6.377011,16,0.033333,-0.039448,1,518,30
1075,515,3.333333,8,0.000000,-0.142857,1,561,9
1050,465,3.333333,8,0.000000,-0.142857,1,586,9
1025,415,3.333333,8,0.000000,-0.142857,1,611,9
1000,365,3.333333,8,0.000000,-0.142857,1,636,9
975,315,3.333333,8,0.000000,-0.142857,1,661,9
950,265,3.000000,7,0.000000,-0.166667,1,686,8
925,215,2.666667,6,0.000000,-0.200000,1,710,7
900,167,1.000000,1,0.000000,na,1,733,2
875,142,1.000000,1,0.000000,na,1,733,2
850,117,1.000000,1,0.000000,na,1,733,2
825,92,1.000000,1,0.000000,na,1,733,2
800,67,1.000000,1,0.000000,na,1,733,2
775,42,1.000000,1,0.000000,na,1,733,2
750,17,1.000000,1,0.000000,na,1,733,2
725,0,0.000000,0,0.000000,na,0,725,1
700,0,0.000000,0,0.000000,na,0,700,1
675,0,0.000000,0,0.000000,na,0,675,1
650,0,0.000000,0,0.000000,na,0,650,1
625,0,0.000000,0,0.000000,na,0,625,1
600,0,0.000000,0,0.000000,na,0,600,1
575,0,0.000000,0,0.000000,na,0,575,1
550,0,0.000000,0,0.000000,na,0,550,1
525,0,0.000000,0,0.000000,na,0,525,1
500,0,0.000000,0,0.000000,na,0,500,1
475,0,0.000000,0,0.000000,na,0,475,1
450,0,0.000000,0,0.000000,na,0,450,1
425,0,0.000000,0,0.000000,na,0,425,1
400,0,0.000000,0,0.000000,na,0,400,1
375,0,0.000000,0,0.000000,na,0,375,1
350,0,0.000000,0,0.000000,na,0,350,1
325,0,0.000000,0,0.000000,na,0,325,1
300,0,0.000000,0,0.000000,na,0,300,1
275,0,0.000000,0,0.000000,na,0,275,1
250,0,0.000000,0,0.000000,na,0,250,1
225,0,0.000000,0,0.000000,na,0,225,1
200,0,0.000000,0,0.000000,na,0,200,1
175,0,0.000000,0,0.000000,na,0,175,1
150,0,0.000000,0,0.000000,na,0,150,1
125,0,0.000000,0,0.000000,na,0,125,1
100,0,0.000000,0,0.000000,na,0,100,1
75,0,0.000000,0,0.000000,na,0,75,1
50,0,0.000000,0,0.000000,na,0,50,1
25,0,0.000000,0,0.000000,na,0,25,1
1,0,0.000000,0,0.000000,na,0,1,1
