enlace,experimento,secuencia,pci,pcm,pcf,enlace,pci_prom,pcm_prom,pcf_prom
1,1,1,65,79,86,1,0.6562,0.7898,0.8699
1,1,2,66,80,90,2,0.6564,0.7906,0.8792
1,1,3,67,80,84,4,0.6622,0.7833,0.8632
1,1,4,69,77,84,8,0.6665,0.754,0.835
1,1,5,65,78,85,16,0.6385,0.7068,0.8043
1,1,6,63,79,88,32,0.5598,0.6144,0.7195
1,1,7,65,79,86,,,,
1,1,8,67,79,88,,,,
1,1,9,65,78,87,,,,
1,1,10,65,77,85,,,,
1,2,1,65,79,90,,,,
1,2,2,67,84,88,,,,
1,2,3,68,81,86,,,,
1,2,4,67,80,89,,,,
1,2,5,65,78,86,,,,
1,2,6,65,76,81,,,,
1,2,7,64,78,92,,,,
1,2,8,63,78,87,,,,
1,2,9,65,81,90,,,,
1,2,10,66,79,91,,,,
1,3,1,66,80,89,,,,
1,3,2,66,80,88,,,,
1,3,3,67,80,88,,,,
1,3,4,66,82,89,,,,
1,3,5,66,79,88,,,,
1,3,6,64,75,83,,,,
1,3,7,66,75,86,,,,
1,3,8,65,78,85,,,,
1,3,9,65,79,88,,,,
1,3,10,66,79,88,,,,
1,4,1,64,77,89,,,,
1,4,2,66,78,87,,,,
1,4,3,63,75,83,,,,
1,4,4,66,80,89,,,,
1,4,5,64,77,89,,,,
1,4,6,66,80,87,,,,
1,4,7,66,80,87,,,,
1,4,8,63,83,86,,,,
1,4,9,69,80,84,,,,
1,4,10,67,80,85,,,,
1,5,1,63,76,88,,,,
1,5,2,63,77,85,,,,
1,5,3,67,84,93,,,,
1,5,4,68,78,88,,,,
1,5,5,67,78,86,,,,
1,5,6,66,82,87,,,,
1,5,7,67,80,88,,,,
1,5,8,66,78,86,,,,
1,5,9,66,82,91,,,,
1,5,10,64,78,83,,,,
1,6,1,66,77,87,,,,
1,6,2,65,83,93,,,,
1,6,3,69,80,90,,,,
1,6,4,65,79,86,,,,
1,6,5,67,80,88,,,,
1,6,6,66,79,88,,,,
1,6,7,67,76,85,,,,
1,6,8,63,81,86,,,,
1,6,9,64,77,86,,,,
1,6,10,67,80,89,,,,
1,7,1,66,79,85,,,,
1,7,2,67,77,84,,,,
1,7,3,67,79,84,,,,
1,7,4,67,77,87,,,,
1,7,5,64,80,90,,,,
1,7,6,67,79,89,,,,
1,7,7,63,78,86,,,,
1,7,8,64,77,89,,,,
1,7,9,66,78,85,,,,
1,7,10,67,81,92,,,,
1,8,1,64,79,85,,,,
1,8,2,64,79,89,,,,
1,8,3,66,78,89,,,,
1,8,4,64,81,88,,,,
1,8,5,66,77,83,,,,
1,8,6,65,78,84,,,,
1,8,7,67,76,83,,,,
1,8,8,67,78,84,,,,
1,8,9,67,79,93,,,,
1,8,10,64,79,84,,,,
1,9,1,65,76,86,,,,
1,9,2,65,78,86,,,,
1,9,3,64,80,85,,,,
1,9,4,68,81,87,,,,
1,9,5,65,81,89,,,,
1,9,6,65,79,84,,,,
1,9,7,67,79,88,,,,
1,9,8,65,77,84,,,,
1,9,9,67,83,93,,,,
1,9,10,65,74,83,,,,
1,10,1,67,79,82,,,,
1,10,2,65,84,89,,,,
1,10,3,66,78,94,,,,
1,10,4,64,80,86,,,,
1,10,5,66,79,86,,,,
1,10,6,63,78,80,,,,
