#n_nodes  m_edges  aspl  diameter  acluster  assort    n_conn  n_comp  o_largestc
2500  9900   4.43402032813   7  0.101275927344  0.00989359984766  4   1  2500
2475  9709   4.44675730629   7  0.101589349981   0.0106432598556  3   1  2475
2450  9520   4.45890817577   7  0.101603291203   0.0139590292441  3   1  2450
2425  9338   4.47221258208   7  0.102241860354   0.0111565604728  3   1  2425
2400  9149   4.48411456162   7  0.102013023046    0.015577917523  3   1  2400
2375  8971   4.49764590077   7   0.10182144584   0.0153662674669  3   1  2375
2350  8786   4.51383712399   7  0.102121521033    0.016092023131  2   1  2350
2325  8594   4.53095811819   7  0.101608147788   0.0175217727086  1   1  2325
2300  8405   4.55151351249   7  0.101654271717   0.0211111493976  1   1  2300
2275  8219   4.57081465588   7  0.101554269113    0.020847197229  1   1  2275
2250  8032   4.59185178598   7  0.102188221757   0.0209688088151  1   1  2250
2225  7853   4.60853366745   8  0.101713401559   0.0191478543282  1   1  2225
2200  7683   4.62612509819   8  0.101237721085   0.0180025191755  1   1  2200
2175  7531   4.63788387315   8  0.101028534396   0.0168428111165  1   1  2175
2150  7357   4.65665328384   8  0.100640788317   0.0167354154777  1   1  2150
2125  7190   4.67324914146   8  0.100305043867   0.0213837131397  1   1  2125
2100  7050   4.68391297443   8  0.100413271804    0.024203728035  1   1  2100
2075  6878   4.70755399612   8 0.0999425387267   0.0262148465397  1   1  2075
2050  6722   4.72546274804   8 0.0998662550258   0.0224252881026  1   1  2050
2025  6556   4.74831991412   8   0.09950848131   0.0221659994075  1   1  2025
2000  6400    4.7692156078   8  0.100165771115    0.020278973589  1   1  2000
1975  6229   4.79577853872   8 0.0991267700186    0.026672791785  1   1  1975
1950  6067    4.8198392338   9 0.0996459163891   0.0243935730423  1   1  1950
1925  5918   4.84336528337   9 0.0998817989204   0.0224503488931  1   1  1925
1900  5779   4.86192067847   9   0.10042835927    0.022019465298  1   1  1900
1875  5611   4.89427413432   8  0.100222688403   0.0210083353127  1   2  1874
1850  5457   4.92605456559   8 0.0997223987755   0.0147804328821  1   2  1849
1825  5319   4.95015806796   9  0.100657019544   0.0134867902827  1   2  1824
1800  5180   4.97833612914   9  0.100496301324  0.00869261415858  1   2  1799
1775  5034   5.00717369522   9 0.0998219391392  0.00920199330011  1   3  1773
1750  4896   5.02863424583   9 0.0989058768289  0.00690926491284  1   3  1748
1725  4768   5.05298405194   9 0.0983275160864   0.0064890134766  1   3  1723
1700  4646     5.076376728   9 0.0995030331318  0.00835839797144  1   3  1698
1675  4516   5.10437228484   9 0.0994183184209  0.00879770956091  1   3  1673
1650  4390   5.13284155953   9 0.0984692617984  0.00993685897665  1   3  1648
1625  4248   5.17701688049   9  0.097784692003   0.0189207973727  1   3  1623
1600  4119   5.21317583109   9 0.0968833271501   0.0223792918165  1   3  1598
1575  3998   5.24354433004  10 0.0968254453409   0.0285044798893  1   4  1572
1550  3872   5.28437045034  10 0.0983761363311   0.0296080181292  1   4  1547
1525  3744   5.33509923705  10 0.0990226368154   0.0322826668767  1   4  1522
1500  3628   5.36383551417  10 0.0986106331267   0.0279227524408  1   4  1497
1475  3507   5.40914750392  10 0.0978325757877      0.0218981454  1   4  1472
1450  3392   5.46012018953  11 0.0963926152938    0.020486998082  1   4  1447
1425  3279   5.51437433622  11 0.0979553036947   0.0188673666504  1   6  1420
1400  3172   5.55794056489  11 0.0981919970434   0.0216745864172  1   8  1393
1375  3059   5.61706066556  11 0.0976217455384   0.0201712106508  1   8  1368
1350  2964   5.65398289196  13 0.0973669381054   0.0142979038428  1   9  1342
1325  2847    5.7289239197  13 0.0969992078565   0.0278505845496  1  10  1316
1300  2725   5.80990158461  13 0.0929044341037   0.0366269723802  1  10  1291
1275  2629   5.86473457748  13 0.0938075956955   0.0376949207188  1  11  1265
1250  2528    5.9307102502  13 0.0941265881494   0.0383300124833  1  11  1240
1225  2426   6.00032677745  13 0.0921610310935      0.0333890198  1  11  1215
1200  2329   6.07101341979  13 0.0927908516738   0.0365445158063  1  12  1188
1175  2225   6.18529294675  14  0.093786873774   0.0414690034825  1  12  1163
1150  2135    6.2598186607  15 0.0916764561919   0.0416314099018  1  15  1135
