#n_nodes  m_edges  aspl  diameter  acluster  assort    n_conn  n_comp  o_largestc
2500  8525   17.3984288115  49  0.233786666667    0.124954146131  3   1  2500
2475  8298   17.5376458196  49  0.232953022286    0.144917103498  3   1  2475
2450  8073   17.6339310506  49  0.232312601231      0.1239987793  3   1  2450
2425  7871   17.6018451227  50  0.232345606284    0.188117875901  3   1  2425
2400  7671   17.6417569821  50  0.232132936508     0.23703587276  2   1  2400
2375  7471   17.7543620804  50  0.231912781955    0.261324348793  2   1  2375
2350  7271   17.9114495077  50  0.230948328267    0.294359740281  2   1  2350
2325  7071   18.0547006459  50  0.229576036866    0.315366892151  2   1  2325
2300  6871   18.2682867788  50  0.228918219462    0.312577778903  2   1  2300
2275  6671   18.4781837687  50  0.229411826269    0.303121785982  2   1  2275
2250  6471   18.6650165506  50  0.228682539683    0.295755635814  2   1  2250
2225  6271   18.8016126425  50   0.22834670947    0.263546672627  2   1  2225
2200  6071   18.9131208401  51   0.22778030303    0.187545337963  2   1  2200
2175  5871   18.9651175332  51  0.226719211823   0.0956915942945  2   1  2175
2150  5695   19.0178752692  52  0.223519379845    0.147856901172  2   1  2150
2125  5520   19.1731454525  53  0.219271708683    0.193659328707  2   1  2125
2100  5345   19.3897692779  53  0.214646258503    0.244660812762  1   1  2100
2075  5170   19.7690134889  53  0.212911072863    0.261106524963  1   1  2075
2050  4995   20.1472851718  54  0.210155632985    0.261404119893  1   1  2050
2025  4820   20.3114536671  54  0.206788947678    0.257312358178  1   1  2025
2000  4645   20.4413706853  55  0.204797619048    0.182914757836  1   1  2000
1975  4483   20.4219250253  55  0.201654008439    0.150160086289  1   1  1975
1950  4333   20.4969754378  56  0.195641025641    0.209781727518  1   1  1950
1925  4183   20.7531095931  56  0.189991341991    0.250318755971  1   1  1925
1900  4033   21.0757129791  57  0.183070175439    0.302979171298  1   1  1900
1875  3883   21.4982875845  57  0.177955555556     0.31494673022  1   1  1875
1850  3733   21.9588218613  58  0.173063063063    0.322297869124  1   1  1850
1825  3583   22.3513175919  58  0.166210045662    0.312737377088  1   1  1825
1800  3433   22.4902841215  58   0.16090420604    0.274372467437  1   2  1799
1775  3286   22.5727551758  59  0.154415633221    0.193912278075  1   2  1774
1750  3161    22.663121653  59  0.147074518773    0.239135493533  1   2  1749
1725  3036   22.8937293045  60   0.14068058778    0.275750699825  1   2  1724
1700  2911   23.7629756574  62  0.133882676084    0.287063169948  1   2  1699
1675  2786   25.1324372403  63  0.127518916766    0.301866883449  1   2  1674
1650  2661   25.9391842364  64  0.123852840105    0.312619221334  1   2  1649
1625  2536   27.0700232799  67  0.115640394089    0.290114833148  1   2  1624
1600  2411   27.6232652703  69  0.106240868295    0.221447844052  1   3  1597
1575  2291   27.7219814287  70 0.0972222222222   0.0996392659504  1   3  1572
1550  2191   28.3952089772  75 0.0930383864671    0.147495742458  1   9  1537
1525  2091   33.6069257899 113 0.0862612612613    0.177240783896  1  18  1480
1500  1991   38.5105183273 143 0.0847497639282    0.205218609912  1  25  1412
1475  1891   47.1716662548 159 0.0746913580247    0.254857920921  1  36  1350
1450  1791   31.1558510524 105 0.0791018998273    0.269718010711  1  44   965
1425  1691   39.6427701388 133 0.0677997076023    0.296311430455  1  49   912
1400  1591   44.8243533559 140 0.0532706619663    0.283552573585  1  55   851
1375  1491   50.0833752781 154 0.0368870895187   0.0814432276802  1  62   741
1350  1403   34.0854553976  94 0.0231213872832  -0.0099199639274  1  78   519
1325  1328     31.70714728  90 0.0252100840336 -0.00987179118912  1 114   476
1300  1253   30.6057728156  90 0.0265486725664 -0.00485468176057  1 153   452
1275  1178   29.0534156931  90 0.0276381909548  -0.0234671445974  1 188   398
1250  1103   21.5339329684  59 0.0297239915074  0.00135881671567  1 226   314
1225  1028   20.6595281722  56 0.0225225225225 -0.00332141032192  1 266   296
1200   953   19.5538756034  54 0.0111524163569  -0.0510146561443  1 302   269
1175   878   18.8110677848  54 0.0154639175258   -0.026221980545  1 341   194
1150   803   14.3180778032  38 0.0173913043478  0.00336587007741  1 374   115
1125   728   8.83065953654  22             0.0   -0.187301587302  1 413    34
1100   657   4.33333333333  11             0.0              -0.1  1 446    12
1075   607   4.33333333333  11             0.0              -0.1  1 471    12
1050   557   4.33333333333  11             0.0              -0.1  1 496    12
1025   507             4.0  10             0.0   -0.111111111111  1 521    11
1000   457             4.0  10             0.0   -0.111111111111  1 546    11
 975   407             4.0  10             0.0   -0.111111111111  1 569    11
 950   357             4.0  10             0.0   -0.111111111111  1 594    11
 925   307             4.0  10             0.0   -0.111111111111  1 618    11
 900   257             4.0  10             0.0   -0.111111111111  1 643    11
 875   207             3.0   7             0.0   -0.166666666667  1 668     8
 850   157   1.66666666667   3             0.0              -0.5  1 693     4
 825   131             1.0   1             0.0                na  1 694     2
 800   106             1.0   1             0.0                na  1 694     2
 775    81             1.0   1             0.0                na  1 694     2
 750    56             1.0   1             0.0                na  1 694     2
 725    31             1.0   1             0.0                na  1 694     2
 700     6             1.0   1             0.0                na  1 694     2
 675     0               0   0             0.0                na  0 675     1
 650     0               0   0             0.0                na  0 650     1
 625     0               0   0             0.0                na  0 625     1
 600     0               0   0             0.0                na  0 600     1
 575     0               0   0             0.0                na  0 575     1
 550     0               0   0             0.0                na  0 550     1
 525     0               0   0             0.0                na  0 525     1
 500     0               0   0             0.0                na  0 500     1
 475     0               0   0             0.0                na  0 475     1
 450     0               0   0             0.0                na  0 450     1
 425     0               0   0             0.0                na  0 425     1
 400     0               0   0             0.0                na  0 400     1
 375     0               0   0             0.0                na  0 375     1
 350     0               0   0             0.0                na  0 350     1
 325     0               0   0             0.0                na  0 325     1
 300     0               0   0             0.0                na  0 300     1
 275     0               0   0             0.0                na  0 275     1
 250     0               0   0             0.0                na  0 250     1
 225     0               0   0             0.0                na  0 225     1
 200     0               0   0             0.0                na  0 200     1
 175     0               0   0             0.0                na  0 175     1
 150     0               0   0             0.0                na  0 150     1
 125     0               0   0             0.0                na  0 125     1
 100     0               0   0             0.0                na  0 100     1
  75     0               0   0             0.0                na  0  75     1
  50     0               0   0             0.0                na  0  50     1
  25     0               0   0             0.0                na  0  25     1
   1     0               0   0             0.0                na  0   1     1
