#n_nodes,m_edges,aspl,diameter,acluster,assort,n_conn,n_comp,o_largestc
2500,9900,4.56418919568,8,0.108863471118,0.0787911265335,4,1,2500
2475,9713,4.57155091742,8,0.108676540938,0.0785259770002,3,1,2475
2450,9515,4.5885640953,9,0.108634347649,0.0746950040307,3,1,2450
2425,9290,4.61850260284,9,0.108763371765,0.074091844693,3,1,2425
2400,9112,4.62658989857,9,0.108150473715,0.0758869030667,3,1,2400
2375,8924,4.64127699197,9,0.108111383856,0.0776947182981,3,1,2375
2350,8745,4.65466844198,9,0.108263563936,0.0785316668715,3,1,2350
2325,8580,4.66266170673,9,0.108650934984,0.0794980355581,3,1,2325
2300,8408,4.67447434612,9,0.109285634789,0.0804681627639,3,1,2300
2275,8254,4.68019407154,9,0.109302166218,0.0784801905264,3,1,2275
2250,8082,4.69367481844,9,0.109413191254,0.078790167971,3,1,2250
2225,7896,4.72137579824,9,0.109175843253,0.0804755998613,3,1,2225
2200,7732,4.7335565753,9,0.109361930245,0.0805562544965,2,1,2200
2175,7546,4.76035614208,9,0.109507684341,0.0751087414054,2,1,2175
2150,7362,4.78484487106,9,0.109132692405,0.0765994727392,2,1,2150
2125,7176,4.81346804032,9,0.108960018176,0.074858119979,2,1,2125
2100,7000,4.84028857279,9,0.109222062693,0.076417643655,2,1,2100
2075,6832,4.86283649545,9,0.109070399912,0.0721898041959,2,1,2075
2050,6683,4.87210656001,9,0.109035051071,0.0730225570798,1,1,2050
2025,6526,4.89144488362,10,0.109271548236,0.0715484195144,1,1,2025
2000,6372,4.91598249125,10,0.109523041712,0.073174216993,1,1,2000
1975,6214,4.9354617624,10,0.109032101597,0.0725103502642,1,1,1975
1950,6076,4.95117706648,10,0.109559786787,0.0723828344746,1,1,1950
1925,5938,4.96273240273,10,0.110453387541,0.0736747252506,1,1,1925
1900,5783,4.9845342424,10,0.110262215811,0.0699776884598,1,1,1900
1875,5640,5.00690771967,10,0.110750053388,0.0690563770145,1,1,1875
1850,5490,5.04030169705,10,0.11182627711,0.0706065983255,1,1,1850
1825,5352,5.05885484259,10,0.11217763253,0.0714919296734,1,1,1825
1800,5194,5.10194614292,10,0.111649736667,0.0704035335659,1,1,1800
1775,5052,5.13899614145,11,0.112864293464,0.0714161797958,1,1,1775
1750,4934,5.15332777914,11,0.114067717628,0.0723992530589,1,1,1750
1725,4801,5.16947106493,11,0.11444657223,0.0728620071671,1,1,1725
1700,4639,5.22720563818,11,0.113508782615,0.0789071343992,1,2,1699
1675,4503,5.25111180385,11,0.114602723446,0.0787431456975,1,3,1673
1650,4359,5.29970349149,11,0.113860498908,0.0809888934469,1,3,1648
1625,4218,5.32191681708,11,0.112706867725,0.0877171582066,1,5,1621
1600,4094,5.35959962602,11,0.11243313382,0.0867039289358,1,5,1596
1575,3979,5.40486282014,13,0.114790384511,0.081455058787,1,5,1571
1550,3841,5.45675780907,13,0.11295701957,0.0803110301815,1,5,1546
1525,3738,5.48242413232,13,0.113019871813,0.0800126442785,1,5,1521
1500,3603,5.53151386524,13,0.11055542804,0.0797057109343,1,7,1494
1475,3457,5.62232042637,14,0.111823375171,0.0702612664397,1,9,1467
