#n_nodes  m_edges  aspl  diameter  acluster  assort    n_conn  n_comp  o_largestc
2500  9900   4.56418919568   8  0.108863471118   0.0787911265335  4   1  2500
2475  9664    4.5979141455   8  0.108664286164    0.073599348174  4   1  2475
2450  9467   4.61307855768   8  0.108542203317   0.0760274104746  4   1  2450
2425  9281   4.62994488109   9   0.10889336516   0.0728655278773  3   1  2425
2400  9084   4.64875017368   9  0.108605009111   0.0712595840392  2   1  2400
2375  8882   4.67011182548   9  0.107525180208   0.0716202104439  2   1  2375
2350  8711   4.68189089065   9  0.108136575616   0.0720079273518  2   1  2350
2325  8547   4.69311642885   9  0.108113199352   0.0703071539085  2   1  2325
2300  8348   4.71835996747   9  0.107895151463   0.0723534635528  2   1  2300
2275  8162   4.74178781641   9  0.107622019105   0.0732738018805  2   1  2275
2250  7970   4.76644118374   9   0.10743514106   0.0729196185319  2   1  2250
2225  7802   4.78007436747   9  0.107809977426   0.0718022506457  2   1  2225
2200  7585   4.81805820828   9  0.105360555855   0.0752874320883  2   1  2200
2175  7419   4.83882456196   9  0.104446927368   0.0734905934808  2   1  2175
2150  7254   4.85312021817   9  0.104982871984   0.0740396401075  2   1  2150
2125  7066   4.88836867176   9  0.105114091186   0.0750398468936  2   1  2125
2100  6898   4.91515642369   9  0.105185396814   0.0732458328177  2   1  2100
2075  6735   4.93218435942   9  0.105245156038   0.0760286233891  1   1  2075
2050  6591    4.9459467438   9  0.105414765506   0.0769470301786  1   1  2050
2025  6438    4.9621695213   9  0.105130281386   0.0779401872969  1   1  2025
2000  6263   4.99950825413   9  0.104884100196   0.0762811445558  1   1  2000
1975  6111   5.01752247573   9  0.104114833945    0.076113570871  1   1  1975
1950  5967   5.03112233756   9  0.104212061936   0.0723805687777  1   1  1950
1925  5806   5.07264627265  10  0.104959661024   0.0707512362511  1   1  1925
1900  5656   5.09507138969  10   0.10591909026   0.0701012952712  1   2  1899
1875  5482   5.13621310024  10   0.10633686802   0.0827830981188  1   3  1873
1850  5357   5.14818636516  10  0.106067779964   0.0844059354033  1   3  1848
1825  5218   5.17383199067  10  0.105231574287   0.0799068486347  1   3  1823
1800  5079   5.20102407733  10   0.10516983318   0.0786829727987  1   3  1798
1775  4957   5.21837660213  10  0.106920940319   0.0792298016435  1   3  1773
1750  4820   5.24174295523  10  0.108622818328   0.0780521887034  1   3  1748
1725  4680   5.27084205425  11  0.106810691506   0.0789344154881  1   3  1723
1700  4539   5.31120123192  11  0.106174716252   0.0820541362646  1   4  1697
1675  4380   5.36715401201  11   0.10464458274   0.0843297998029  1   4  1672
1650  4229   5.44660087452  11  0.103179799276   0.0726048014475  1   4  1647
1625  4116   5.47271667867  11  0.103435035505   0.0762041813508  1   4  1622
1600  4010   5.48827476214  12  0.102899327973   0.0735239950141  1   5  1596
1575  3882   5.52400069735  12  0.103074708188   0.0761188044222  1   5  1571
1550  3749    5.5784194376  12  0.102714093351   0.0766857561996  1   6  1545
1525  3641   5.59936110106  12  0.104111180861   0.0740605691187  1   7  1519
1500  3513    5.6450853649  12  0.104540703793   0.0742411719402  1   7  1494
1475  3397    5.6936691627  12  0.103938335888   0.0716302537476  1   7  1469
1450  3277     5.755177561  13  0.103169434516    0.062247418901  1   8  1443
1425  3164   5.80299964266  13  0.105255347028    0.062419161081  1   8  1418
1400  3072   5.81960289425  13  0.105074622473    0.066251524538  1   9  1391
1375  2952   5.88494301398  14 0.0994873098364   0.0713861825141  1  10  1365
1350  2834   5.95384777065  14  0.099885982961   0.0816798174902  1  12  1338
1325  2718   6.02116588529  15  0.099585801971   0.0850231455773  1  13  1312
1300  2611   6.08828971234  15 0.0996514647113   0.0839811779195  1  16  1284
1275  2519   6.11479541752  15 0.0988813837577   0.0843541570149  1  22  1253
