enlace,experimento,secuencia,pci,pcm,pcf
1,1,1,45,50,52
1,2,1,45,51,55
1,3,1,45,52,53
1,4,1,44,51,54
1,5,1,44,50,54
1,6,1,45,51,54
1,7,1,44,50,55
1,8,1,44,51,53
1,9,1,46,51,55
1,10,1,45,50,52
2,1,1,42,48,51
2,2,1,42,48,51
2,3,1,45,50,53
2,4,1,46,51,54
2,5,1,45,50,53
2,6,1,43,50,53
2,7,1,44,50,54
2,8,1,45,50,53
2,9,1,44,51,53
2,10,1,44,50,53
4,1,1,41,50,54
4,2,1,41,48,54
4,3,1,41,49,53
4,4,1,42,50,54
4,5,1,42,47,53
4,6,1,42,49,53
4,7,1,42,46,49
4,8,1,42,50,53
4,9,1,42,49,53
4,10,1,41,50,55
8,1,1,41,48,54
8,2,1,41,47,54
8,3,1,41,46,54
8,4,1,40,46,54
8,5,1,41,47,54
8,6,1,41,46,54
8,7,1,41,45,55
8,8,1,41,48,53
8,9,1,41,48,54
8,10,1,42,46,54
16,1,1,43,47,54
16,2,1,43,46,54
16,3,1,43,46,51
16,4,1,43,47,56
16,5,1,43,47,52
16,6,1,44,47,53
16,7,1,43,47,55
16,8,1,43,48,53
16,9,1,43,46,55
16,10,1,42,47,55
32,1,1,41,49,54
32,2,1,40,49,54
32,3,1,42,47,54
32,4,1,40,49,54
32,5,1,40,51,55
32,6,1,41,44,54
32,7,1,42,42,54
32,8,1,43,49,54
32,9,1,39,43,54
32,10,1,42,46,55
