num_nodes,removed,mean_r1_s,std_r1_s,mean_r2_s,std_r2_s,mean_r1_avg_s,std_r1_avg_s,mean_r2_avg_s,std_r2_avg_s
2500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2475,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2450,0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2425,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2400,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2375,0.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2350,0.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2325,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2300,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2275,0.09,0.9999956043956044,4.395604395603946e-05,1.0,0.0,0.01,0.09999999999999999,0.0,0.0
2250,0.1,0.999991111111111,6.253568628280395e-05,1.0,0.0,0.02,0.14070529413628968,0.0,0.0
2225,0.11,0.9999910112359551,6.323833444327815e-05,1.0,0.0,0.02,0.14070529413628968,0.0,0.0
2200,0.12,0.9999909090909092,6.395695188014302e-05,0.9999954545454546,4.545454545455741e-05,0.02,0.14070529413628968,0.01,0.09999999999999999
2175,0.13,0.9999862068965517,7.882602666565271e-05,0.9999954022988505,4.597701149424011e-05,0.03,0.1714466079977653,0.01,0.09999999999999999
2150,0.14,0.9999860465116279,7.974260837104828e-05,0.9999953488372093,4.6511627906966455e-05,0.03,0.1714466079977653,0.01,0.09999999999999999
2125,0.15,0.9999764705882354,0.00012287834538048873,0.9999764705882354,0.000122878345380481,0.05,0.26111648393354675,0.05,0.2611164839335468
2100,0.16,0.9999714285714286,0.0001322847519349756,0.9999619047619048,0.00016130665064913204,0.06,0.2777979790634143,0.07,0.2931886695621029
