num_nodes,removed,mean_r1,std_r1,mean_r2,std_r2
2500,0.0,27.0,0.0,23.8,0.42163702135578357
2475,0.01,27.4,0.5163977794943223,24.1,0.31622776601683755
2450,0.02,27.8,0.42163702135578385,24.1,0.31622776601683755
2425,0.03,28.0,0.0,24.1,0.31622776601683755
2400,0.04,28.1,0.31622776601683755,24.3,0.48304589153964783
2375,0.05,28.3,0.4830458915396476,24.8,0.42163702135578385
2350,0.06,28.6,0.5163977794943228,24.9,0.3162277660168379
2325,0.07,28.9,0.5676462121975466,25.0,0.0
2300,0.08,29.0,0.6666666666666666,25.5,0.52704627669473
2275,0.09,29.3,0.6749485577105528,25.7,0.4830458915396473
2250,0.1,29.8,0.6324555320336757,25.9,0.316227766016838
2225,0.11,29.9,0.5676462121975465,26.0,0.0
2200,0.12,30.1,0.31622776601683794,26.3,0.4830458915396476
2175,0.13,30.2,0.42163702135578396,26.5,0.5270462766947301
2150,0.14,30.4,0.5163977794943221,27.0,0.0
2125,0.15,30.8,0.632455532033676,27.5,0.8498365855987977
2100,0.16,31.0,0.6666666666666666,27.9,0.7378647873726216
2075,0.17,31.4,0.5163977794943221,28.2,0.4216370213557839
2050,0.18,31.9,0.5676462121975457,28.3,0.483045891539648
2025,0.19,32.2,0.42163702135578385,28.5,0.5270462766947303
2000,0.2,32.7,0.4830458915396476,29.1,0.7378647873726217
1975,0.21,33.0,0.816496580927726,29.8,0.7888106377466155
1950,0.22,33.4,0.5163977794943215,30.3,0.6749485577105528
1925,0.23,33.9,0.7378647873726221,30.5,0.8498365855987979
1900,0.24,34.1,0.7378647873726214,31.1,0.7378647873726214
1875,0.25,35.0,0.6666666666666655,31.4,0.8432740427115681
1850,0.26,35.6,0.6992058987801009,31.9,0.8755950357709146
1825,0.27,36.3,1.159501808728405,32.6,1.0749676997731392
1800,0.28,36.8,1.1352924243950933,33.7,1.1595018087284057
1775,0.29,37.4,1.4298407059684817,34.1,0.9944289260117526
1750,0.3,38.4,1.7763883459298968,34.8,0.7888106377466152
1725,0.31,39.5,2.1730674684008835,35.8,1.2292725943057186
1700,0.32,40.1,2.183269719175042,36.5,0.9718253158075502
1675,0.33,40.4,2.11869981094276,37.4,0.8432740427115679
1650,0.34,41.6,1.8973665961010273,38.4,0.966091783079296
1625,0.35,43.0,2.0,41.2,1.3984117975602022
1600,0.36,44.9,2.131770260709264,43.2,1.751190071541827
1575,0.37,47.1,2.424412872795757,44.7,2.5841396591085735
1550,0.38,49.8,3.259175083088085,46.0,2.666666666666667
1525,0.39,51.7,3.0930028559098792,48.4,2.6331223544175333
1500,0.4,52.5,2.9907264074877267,49.3,2.496664441476534
1475,0.41,54.6,2.8751811537130454,52.1,4.280446497997869
1450,0.42,56.7,3.0568684048294332,55.5,4.196559437338057
1425,0.43,57.9,4.532597979574676,60.5,8.36991968632648
1400,0.44,60.7,4.056544780420347,59.4,5.561774297230458
1375,0.45,68.0,13.457752825457565,66.9,13.076271979768881
1350,0.46,67.5,12.294985427671993,68.0,14.197026292697903
1325,0.47,65.1,13.649989824986033,66.4,14.796395957574715
1300,0.48,70.1,17.39380477194235,62.2,19.64009504389766
1275,0.49,72.5,17.462658573208273,57.0,11.372481406154654
1250,0.5,68.7,22.6276625198254,52.4,9.215928240461366
1225,0.51,58.5,13.66463399517975,50.6,8.656404180335699
1200,0.52,53.1,13.535549900580733,45.3,10.883728936148472
1175,0.53,49.8,15.112908389850048,40.7,10.360716405946285
1150,0.54,46.0,11.14550233153366,32.4,11.384199576606166
1125,0.55,38.2,12.053584068188552,25.3,9.638464608017193
1100,0.56,27.3,5.2925524193068805,12.6,2.5473297566057065
1075,0.57,16.9,4.458450154232722,10.8,1.8737959096740262
1050,0.58,10.6,1.1737877907772667,10.8,1.8737959096740262
1025,0.59,9.8,1.3165611772087664,10.6,1.8378731669453627
1000,0.6,9.7,1.2516655570345725,10.1,1.7919573407620815
975,0.61,9.7,1.2516655570345725,9.8,1.988857852023507
950,0.62,9.4,1.2649110640673518,9.1,2.1832697191750423
925,0.63,9.2,1.5491933384829668,6.7,2.8303906287138374
900,0.64,8.4,2.3190036174568114,2.9,1.9119507199599979
875,0.65,6.9,2.0248456731316584,1.0,0.0
850,0.66,2.9,2.378141197564929,1.0,0.0
825,0.67,1.0,0.0,1.0,0.0
800,0.68,1.0,0.0,1.0,0.0
775,0.69,1.0,0.0,1.0,0.0
750,0.7,1.0,0.0,1.0,0.0
725,0.71,1.0,0.0,0.4,0.5163977794943222
700,0.72,1.0,0.0,0.0,0.0
675,0.73,0.8,0.4216370213557839,0.0,0.0
650,0.74,0.0,0.0,0.0,0.0
625,0.75,0.0,0.0,0.0,0.0
600,0.76,0.0,0.0,0.0,0.0
575,0.77,0.0,0.0,0.0,0.0
550,0.78,0.0,0.0,0.0,0.0
525,0.79,0.0,0.0,0.0,0.0
500,0.8,0.0,0.0,0.0,0.0
475,0.81,0.0,0.0,0.0,0.0
450,0.82,0.0,0.0,0.0,0.0
425,0.83,0.0,0.0,0.0,0.0
400,0.84,0.0,0.0,0.0,0.0
375,0.85,0.0,0.0,0.0,0.0
350,0.86,0.0,0.0,0.0,0.0
325,0.87,0.0,0.0,0.0,0.0
300,0.88,0.0,0.0,0.0,0.0
275,0.89,0.0,0.0,0.0,0.0
250,0.9,0.0,0.0,0.0,0.0
225,0.91,0.0,0.0,0.0,0.0
200,0.92,0.0,0.0,0.0,0.0
175,0.93,0.0,0.0,0.0,0.0
150,0.94,0.0,0.0,0.0,0.0
125,0.95,0.0,0.0,0.0,0.0
100,0.96,0.0,0.0,0.0,0.0
75,0.97,0.0,0.0,0.0,0.0
50,0.98,0.0,0.0,0.0,0.0
25,0.99,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
