num_nodes,removed,mean_r1,std_r1,mean_r2,std_r2
2500,0.0,9.0,0.0,7.0,0.0
2475,0.01,9.14,0.34873508801977704,7.0,0.0
2450,0.02,9.29,0.45604802157206814,7.0,0.0
2425,0.03,9.41,0.49431107042371114,7.0,0.0
2400,0.04,9.51,0.5024183937956914,7.01,0.09999999999999991
2375,0.05,9.59,0.49431107042371003,7.05,0.2190429135575902
2350,0.06,9.67,0.47258156262526074,7.1,0.3015113445777634
2325,0.07,9.79,0.45604802157206875,7.17,0.37752516806863734
2300,0.08,9.84,0.4197161137740797,7.29,0.4560480215720685
2275,0.09,9.87,0.39325114703769737,7.41,0.4943110704237103
2250,0.1,9.98,0.4015122927285307,7.55,0.5000000000000001
2225,0.11,10.0,0.37605071654517724,7.72,0.45126085985421305
2200,0.12,10.05,0.41132945334843124,7.81,0.3942772444036625
2175,0.13,10.11,0.39936818788550155,7.86,0.34873508801977665
2150,0.14,10.17,0.42770234150550623,7.97,0.17144660799776543
2125,0.15,10.24,0.47396884353980956,8.03,0.22270150335361327
2100,0.16,10.3,0.48199920365414733,8.04,0.19694638556693217
2075,0.17,10.41,0.4943110704237107,8.07,0.2564323999762428
2050,0.18,10.49,0.5221362491019583,8.13,0.33799766898963113
2025,0.19,10.56,0.5378595813899103,8.18,0.3861229196653691
2000,0.2,10.63,0.525222415609412,8.24,0.42923469599092784
1975,0.21,10.7,0.5025189076296066,8.39,0.4902071300001975
1950,0.22,10.86,0.5128647999524854,8.47,0.501613558046592
1925,0.23,10.94,0.4886592665527571,8.56,0.5378595813899097
1900,0.24,11.05,0.45781651302236737,8.72,0.5699548094792121
1875,0.25,11.22,0.5041244034376973,8.81,0.5064233865696229
1850,0.26,11.31,0.4860685407045247,8.93,0.4768372231419619
1825,0.27,11.44,0.5741924500522186,9.01,0.4379705261980329
1800,0.28,11.55,0.5924610544247623,9.11,0.37321967966993547
1775,0.29,11.69,0.6465916857498308,9.14,0.34873508801977704
1750,0.3,11.81,0.7063206700139026,9.25,0.4351941398892443
1725,0.31,11.95,0.7017294652672369,9.4,0.4923659639173312
1700,0.32,12.12,0.7003606574508953,9.56,0.5741924500522186
1675,0.33,12.35,0.7436600722307893,9.79,0.6403124237432841
1650,0.34,12.55,0.7703468981143126,9.99,0.5772627852480384
1625,0.35,12.73,0.7895146188218007,10.08,0.5628211765451585
1600,0.36,12.93,0.728288432150367,10.25,0.641573192719398
1575,0.37,13.03,0.758187631690523,10.49,0.6434597143880914
1550,0.38,13.23,0.8270062840990954,10.61,0.680092091209163
1525,0.39,13.4,0.8876253645985945,10.81,0.7479939501726933
1500,0.4,13.6,0.9101004495564368,11.06,0.7360829992726239
1475,0.41,13.86,0.9536744462839241,11.17,0.7393007889659369
1450,0.42,14.1,1.0963668190985174,11.31,0.7343656645656367
1425,0.43,14.38,1.170167906453142,11.51,0.7452882297839842
1400,0.44,14.62,1.1439785263224431,11.69,0.720479638220893
1375,0.45,14.93,1.1656272425981082,11.86,0.7250217690914976
1350,0.46,15.14,1.2310790208412923,12.01,0.7176701923937657
1325,0.47,15.41,1.2560560368378344,12.31,0.8001893715259097
1300,0.48,15.71,1.3126809639555657,12.55,0.8804842561071293
1275,0.49,16.08,1.338474934959617,12.84,0.8253557543339242
1250,0.5,16.42,1.4154986272110486,13.21,0.9979271445644647
1225,0.51,16.59,1.3188225541341527,13.39,1.0720979150217294
1200,0.52,16.91,1.3034143197344765,13.69,1.2366049972371613
1175,0.53,17.21,1.4375554446927103,14.09,1.2151817422372122
1150,0.54,17.54,1.5726192524356655,14.42,1.3194734180763554
1125,0.55,17.97,1.6234083113790398,14.59,1.198441749215466
1100,0.56,18.36,1.5732614261944875,15.04,1.171375777503194
1075,0.57,18.76,1.7702365304493561,15.42,1.0841372308677235
1050,0.58,19.03,1.8004208262278987,15.81,1.1865832452802447
1025,0.59,19.53,1.976912192835539,16.18,1.1580199052736961
1000,0.6,19.81,1.9984590022911113,16.66,1.257060865750748
975,0.61,20.23,2.0785338655655883,17.03,1.2827920936595905
950,0.62,20.64,2.280882338575194,17.52,1.5730045881507901
925,0.63,21.25,2.8261942143762413,17.97,1.6844805571673267
900,0.64,21.79,2.840170004870423,18.62,1.846536479384301
875,0.65,22.29,2.9449323018749105,19.32,2.0244964456836807
850,0.66,23.28,2.99521503924395,19.91,1.8372959929354238
825,0.67,24.08,3.5552777669262343,20.61,1.874307953093702
800,0.68,24.76,3.3367255466605843,21.41,2.287846678482285
775,0.69,25.86,3.821840478940042,22.21,2.2169913182172154
750,0.7,26.41,4.503859175723356,23.09,2.433333333333333
725,0.71,27.25,4.023604595309277,24.3,2.8266409375615753
700,0.72,27.62,3.9918604052433366,25.43,2.868339892232743
675,0.73,28.66,4.367510906128514,26.56,3.3160765425972363
650,0.74,28.96,4.583501374329984,27.54,3.7883926924118083
